DATE,GDPC1
2001-01-07,12999.569899323904
2001-01-14,12293.340525890282
2001-01-21,12708.810378926019
2001-01-28,12287.226546440565
2001-02-04,13353.26283535211
2001-02-11,13160.570278346237
2001-02-18,13254.447859001639
2001-02-25,14286.18564721206
2001-03-04,13335.28917916595
2001-03-11,12555.265387680007
2001-03-18,13146.40058537132
2001-03-25,11982.228910276212
2001-04-01,13936.697863439485
2001-04-08,12809.324538463827
2001-04-15,13474.200640907458
2001-04-22,13236.221960870422
2001-04-29,12673.84145925323
2001-05-06,13062.427778346953
2001-05-13,12797.05768289484
2001-05-20,12918.36925862059
2001-05-27,13516.30574726475
2001-06-03,13277.821840547449
2001-06-10,13622.309294894108
2001-06-17,12666.428536886435
2001-06-24,13307.934910503149
2001-07-01,12822.024320470315
2001-07-08,13434.461770898946
2001-07-15,13502.607889427887
2001-07-22,12650.636440786171
2001-07-29,13098.570243095264
2001-08-05,13617.564490618688
2001-08-12,13759.60326905247
2001-08-19,13217.095558261068
2001-08-26,13211.868073794085
2001-09-02,13661.232255757921
2001-09-09,13621.52499644281
2001-09-16,12966.629680404549
2001-09-23,12986.170227011076
2001-09-30,13716.972281547973
2001-10-07,13773.14004914516
2001-10-14,12747.799050109317
2001-10-21,13255.780026358798
2001-10-28,13310.211622302513
2001-11-04,13215.431893249848
2001-11-11,13608.316145233495
2001-11-18,12859.72319750844
2001-11-25,13554.868347952906
2001-12-02,12224.960901899269
2001-12-09,12558.491412577072
2001-12-16,13737.739691929364
2001-12-23,13511.344632521283
2001-12-30,13030.193402299874
2002-01-06,13324.553384907531
2002-01-13,13154.454746873893
2002-01-20,13069.49100412746
2002-01-27,12773.559538632278
2002-02-03,13768.184084702913
2002-02-10,14079.556173104593
2002-02-17,13140.665385513801
2002-02-24,13452.809102357029
2002-03-03,14413.770196507223
2002-03-10,13938.090223053396
2002-03-17,13246.371223166332
2002-03-24,14155.76555749002
2002-03-31,13546.664524194122
2002-04-07,13849.780418755276
2002-04-14,13189.706817527283
2002-04-21,13434.988323908512
2002-04-28,13294.831755498257
2002-05-05,14270.607133577483
2002-05-12,13663.66982865197
2002-05-19,13094.974405762929
2002-05-26,12541.37073186814
2002-06-02,13937.092361023184
2002-06-09,13372.097053966414
2002-06-16,14206.190265318239
2002-06-23,14753.460230715813
2002-06-30,13598.46215158735
2002-07-07,14144.70099139318
2002-07-14,13392.5296434601
2002-07-21,13804.1216184118
2002-07-28,13094.920984502149
2002-08-04,13655.791454663127
2002-08-11,13082.268054502474
2002-08-18,13813.976551615111
2002-08-25,13157.666304604612
2002-09-01,13373.672342778202
2002-09-08,13770.808085560631
2002-09-15,13786.328855866457
2002-09-22,13628.214271766486
2002-09-29,12653.035121396866
2002-10-06,12729.930728323417
2002-10-13,13464.906627043376
2002-10-20,13826.512844903618
2002-10-27,13210.437545368542
2002-11-03,13606.226665614553
2002-11-10,13467.809648694276
2002-11-17,13960.69836187386
2002-11-24,13599.924875525801
2002-12-01,14470.640079880897
2002-12-08,13217.922540642923
2002-12-15,14347.845372715312
2002-12-22,12764.38181734936
2002-12-29,12944.77247763097
2003-01-05,13908.361368299838
2003-01-12,13443.250456021182
2003-01-19,14178.317790497113
2003-01-26,14340.172182449163
2003-02-02,14092.217134202998
2003-02-09,13440.83391752066
2003-02-16,13646.19744264487
2003-02-23,14263.715626618718
2003-03-02,13040.238300880925
2003-03-09,13722.895237578165
2003-03-16,13014.705187988367
2003-03-23,13273.21443437875
2003-03-30,14016.783182227608
2003-04-06,13863.73704939272
2003-04-13,13945.91076803176
2003-04-20,13736.178063793795
2003-04-27,14124.644644906819
2003-05-04,12614.705228664574
2003-05-11,13561.490416818126
2003-05-18,13666.84885924466
2003-05-25,13059.471447251208
2003-06-01,14243.252906975358
2003-06-08,14436.076891006865
2003-06-15,13750.539709917084
2003-06-22,13775.642983347816
2003-06-29,12940.770252627794
2003-07-06,12984.804701410783
2003-07-13,13860.174925907617
2003-07-20,14287.327571520525
2003-07-27,15141.317990777745
2003-08-03,13434.463008542441
2003-08-10,13976.245570026662
2003-08-17,13836.154610225725
2003-08-24,14276.56840321169
2003-08-31,14066.123197874576
2003-09-07,13667.075013589292
2003-09-14,13669.073502045127
2003-09-21,13494.973376672182
2003-09-28,14542.359276779685
2003-10-05,13635.499185113587
2003-10-12,14446.025314330389
2003-10-19,14306.240185009554
2003-10-26,14284.492929828288
2003-11-02,14291.927738839604
2003-11-09,15590.959833417937
2003-11-16,14268.88815092543
2003-11-23,14077.151406714058
2003-11-30,14551.923961406465
2003-12-07,14739.57401727476
2003-12-14,13787.901393183425
2003-12-21,13902.855592919503
2003-12-28,13712.171235688236
2004-01-04,13906.801286270498
2004-01-11,13721.361864032206
2004-01-18,14471.565367337193
2004-01-25,14207.53581262761
2004-02-01,14517.972892037049
2004-02-08,13506.464626401494
2004-02-15,14013.261483152311
2004-02-22,14827.291002561178
2004-02-29,13657.512251317305
2004-03-07,14792.958351384332
2004-03-14,14493.069625333292
2004-03-21,14610.728072015982
2004-03-28,14117.319564447303
2004-04-04,14449.339175837293
2004-04-11,13914.33655981941
2004-04-18,14123.580836568239
2004-04-25,14637.87057258974
2004-05-02,14154.196611904074
2004-05-09,15175.692850337322
2004-05-16,14302.434254696207
2004-05-23,14125.835085174402
2004-05-30,14878.290946895866
2004-06-06,14864.84071436182
2004-06-13,13460.591093573277
2004-06-20,14666.37650414188
2004-06-27,14161.873156844464
2004-07-04,14174.328770674658
2004-07-11,14530.617763743725
2004-07-18,15220.723933885854
2004-07-25,14313.830640421904
2004-08-01,14439.68938300778
2004-08-08,14584.9126871116
2004-08-15,14225.101542123368
2004-08-22,14174.890608154717
2004-08-29,14807.150451690484
2004-09-05,14584.85324490396
2004-09-12,14353.970464235852
2004-09-19,14209.775553616593
2004-09-26,14792.909097094074
2004-10-03,14281.09815113774
2004-10-10,14714.128526821181
2004-10-17,14846.225788140613
2004-10-24,15018.854003537643
2004-10-31,14308.774356688786
2004-11-07,14134.348208574425
2004-11-14,14975.1523589533
2004-11-21,14236.859489509412
2004-11-28,14898.36843999982
2004-12-05,13487.877897023105
2004-12-12,14913.579080401663
2004-12-19,14374.246033972859
2004-12-26,14589.441342224814
2005-01-02,15238.402738422474
2005-01-09,14697.448768184317
2005-01-16,15377.174639759962
2005-01-23,15315.696040759873
2005-01-30,15084.405588637776
2005-02-06,14592.111406378852
2005-02-13,14713.17313682333
2005-02-20,13931.064086416207
2005-02-27,14988.811747195026
2005-03-06,15402.129189836554
2005-03-13,15481.222605390849
2005-03-20,14512.627662839861
2005-03-27,14823.390121271457
2005-04-03,15046.680429700287
2005-04-10,14943.577162797763
2005-04-17,14772.32499238151
2005-04-24,15028.797289378934
2005-05-01,14789.837978684587
2005-05-08,15646.530245183043
2005-05-15,13782.859032945435
2005-05-22,15201.505433846572
2005-05-29,14710.150106702391
2005-06-05,14354.850177999726
2005-06-12,14860.947436331133
2005-06-19,14932.177541353902
2005-06-26,14949.043987770863
2005-07-03,14540.970913778887
2005-07-10,14479.485574697183
2005-07-17,15305.3658261036
2005-07-24,15162.744346548243
2005-07-31,15410.261316594806
2005-08-07,15162.991369767667
2005-08-14,15543.9165940932
2005-08-21,13982.158578056897
2005-08-28,14525.296992583317
2005-09-04,14083.26568524893
2005-09-11,14868.36604399574
2005-09-18,15574.99313004369
2005-09-25,14678.19630691487
2005-10-02,15409.918660518504
2005-10-09,15215.888910558768
2005-10-16,14589.241937995554
2005-10-23,15714.111085889319
2005-10-30,14691.616915786159
2005-11-06,14549.668316774838
2005-11-13,14874.525670024997
2005-11-20,15480.293926853057
2005-11-27,14893.464619443372
2005-12-04,14830.699098022898
2005-12-11,14629.213242273823
2005-12-18,15265.739256075218
2005-12-25,15347.676002920827
2006-01-01,15425.521801217532
2006-01-08,15511.371434381887
2006-01-15,16077.960329708518
2006-01-22,15264.301880734218
2006-01-29,15351.88454583244
2006-02-05,15529.59884848127
2006-02-12,14889.033589489398
2006-02-19,15391.487414105757
2006-02-26,15509.337304217115
2006-03-05,15038.546396799622
2006-03-12,15727.801656737383
2006-03-19,14952.400131707816
2006-03-26,15529.324884290054
2006-04-02,14972.278748670336
2006-04-09,14710.089164005802
2006-04-16,15044.73705723614
2006-04-23,14744.83593269034
2006-04-30,15077.863271194363
2006-05-07,15526.763502041502
2006-05-14,15916.616407673673
2006-05-21,15485.866054213775
2006-05-28,15513.247502143318
2006-06-04,16299.91556631467
2006-06-11,14850.172652623458
2006-06-18,15330.498816466446
2006-06-25,15706.319855257963
2006-07-02,14775.150780030994
2006-07-09,15526.013972801999
2006-07-16,16091.837857094777
2006-07-23,15846.802837668529
2006-07-30,15496.931348124645
2006-08-06,15819.344272048384
2006-08-13,15462.644566610228
2006-08-20,15382.039213179218
2006-08-27,15776.87659138715
2006-09-03,15380.93252498048
2006-09-10,15709.617663551791
2006-09-17,16041.917936045646
2006-09-24,14894.256530611474
2006-10-01,15196.296711927293
2006-10-08,14647.280648476113
2006-10-15,15619.089471380747
2006-10-22,15576.517819487046
2006-10-29,14815.611176579272
2006-11-05,15232.381455841683
2006-11-12,15178.548527430516
2006-11-19,15679.157189252768
2006-11-26,15091.069129197243
2006-12-03,16049.690776566085
2006-12-10,15544.220313054817
2006-12-17,15275.391162177759
2006-12-24,16008.22344613375
2006-12-31,16020.561307068434
2007-01-07,15790.394718391814
2007-01-14,16649.891304495006
2007-01-21,15778.505070827992
2007-01-28,16056.706699873319
2007-02-04,15172.331247598268
2007-02-11,15614.853313756654
2007-02-18,15806.537977192014
2007-02-25,15693.26834712902
2007-03-04,15432.039396132679
2007-03-11,15285.48572753464
2007-03-18,15713.057979393487
2007-03-25,15967.63169352305
2007-04-01,15766.184439301716
2007-04-08,15165.290602551648
2007-04-15,15814.889701243517
2007-04-22,15926.87085585501
2007-04-29,15933.329833893147
2007-05-06,15638.253462280138
2007-05-13,14686.256370663452
2007-05-20,15650.515272391129
2007-05-27,15169.95983586053
2007-06-03,15641.470647611111
2007-06-10,15718.705536180389
2007-06-17,16539.646081387215
2007-06-24,15815.726882438365
2007-07-01,14980.477216147881
2007-07-08,15765.201349666106
2007-07-15,16566.71793392913
2007-07-22,15463.10105922965
2007-07-29,16005.667325076516
2007-08-05,15822.217820797956
2007-08-12,15136.1957446873
2007-08-19,15460.002233306339
2007-08-26,16119.57337795972
2007-09-02,15472.82841219582
2007-09-09,15740.374464122955
2007-09-16,15683.665329994752
2007-09-23,15167.597677285414
2007-09-30,15671.890720193887
2007-10-07,16213.643199433445
2007-10-14,15770.068740555727
2007-10-21,16314.825794882614
2007-10-28,15705.811042139818
2007-11-04,15497.016809533296
2007-11-11,15027.275009099303
2007-11-18,15624.831657308101
2007-11-25,15247.250716638046
2007-12-02,16207.143488781554
2007-12-09,15994.7737195547
2007-12-16,15223.6520080304
2007-12-23,15229.707919129989
2007-12-30,15711.986492437814
2008-01-06,16229.220880775743
2008-01-13,16231.103739997518
2008-01-20,15002.464094583158
2008-01-27,16483.22994811927
2008-02-03,15687.821635917542
