DATE,CPALTT01USM661S
2009-01-04,93.26217751412139
2009-01-11,91.81716915198135
2009-01-18,91.12247455361391
2009-01-25,87.88814216668344
2009-02-01,82.71526478536595
2009-02-08,93.367648932949
2009-02-15,88.78971695150778
2009-02-22,97.8691252612407
2009-03-01,81.81577661813917
2009-03-08,90.42459927130345
2009-03-15,89.68480464256656
2009-03-22,93.59348473968505
2009-03-29,105.50848398270215
2009-04-05,97.28367710831947
2009-04-12,79.21638416903782
2009-04-19,95.22345837356362
2009-04-26,90.47665312252352
2009-05-03,83.2052621195623
2009-05-10,85.39193122070387
2009-05-17,83.63227442990339
2009-05-24,93.41638706290897
2009-05-31,93.09397733932127
2009-06-07,81.71419686923981
2009-06-14,86.21467252349144
2009-06-21,87.40114379024338
2009-06-28,101.03777750259977
2009-07-05,90.17048155783496
2009-07-12,90.07240460406719
2009-07-19,84.31702617098203
2009-07-26,95.57834986268715
2009-08-02,86.47059763719369
2009-08-09,85.09947301895211
2009-08-16,96.70470739733759
2009-08-23,91.80518629652109
2009-08-30,96.1002759102127
2009-09-06,99.2796939875585
2009-09-13,88.776044322971
2009-09-20,84.00207811374023
2009-09-27,98.92698663332307
2009-10-04,98.0053629129209
2009-10-11,78.29153384144075
2009-10-18,92.18839483412404
2009-10-25,86.19722836250556
2009-11-01,90.69360801413946
2009-11-08,87.17050164419031
2009-11-15,86.39811365134338
2009-11-22,90.57445666595692
2009-11-29,96.352686236573
2009-12-06,94.074356475256
2009-12-13,88.27407448754305
2009-12-20,92.27426684100372
2009-12-27,94.03018049762963
2010-01-03,88.11499974138648
2010-01-10,101.19109403125677
2010-01-17,89.03161572736958
2010-01-24,100.84366694850667
2010-01-31,88.57147007218312
2010-02-07,90.52992911011776
2010-02-14,90.38004452532047
2010-02-21,96.48593970419775
2010-02-28,88.0376198438396
2010-03-07,94.47680983457606
2010-03-14,82.39204397085946
2010-03-21,92.72970304448549
2010-03-28,93.98854236289391
2010-04-04,88.60825216185717
2010-04-11,82.61586046953333
2010-04-18,91.38056288084009
2010-04-25,92.85558110384294
2010-05-02,86.77801348385746
